pitch_name,stand,release_extension,release_pos_x,release_pos_y,release_pos_z,release_speed,release_spin_rate,spin_axis,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,outs_when_up,sz_top,sz_bot,swing
4-Seam Fastball,R,5.85,-2.729,51.2,6.052,92.02,2591.0,314.5,-1.041,1.913,-0.332,0.812,1,1,2,3.25,1.33,1
Knuckle Curve,R,6.55,-2.883,49.75,5.662,82.04,1426.0,90.2,-0.185,1.173,-1.618,0.386,1,0,0,3.33,1.84,0
Slider,R,6.33,-2.798,49.32,5.939,90.8,2519.0,265.3,-0.871,1.186,-0.187,1.884,2,1,1,3.77,1.58,0
Knuckle Curve,R,6.13,-2.734,52.54,6.119,80.48,1768.0,354.0,0.84,1.037,-0.476,0.747,0,1,2,3.84,1.32,0
Cutter,R,5.87,-2.774,48.73,5.992,92.23,2337.0,271.8,-0.863,3.39,1.999,0.879,0,0,1,3.38,1.73,0
Changeup,L,6.07,-2.805,48.91,6.154,83.1,2884.0,125.2,-0.562,2.418,-0.881,0.947,3,2,2,3.54,1.47,1
Slider,R,5.72,-2.768,50.74,6.135,83.91,2491.0,179.9,-0.728,2.388,0.3,-1.485,2,0,0,3.53,1.79,1
Slider,R,6.09,-2.771,50.71,5.672,88.13,2236.0,237.9,1.349,2.248,-1.312,0.851,2,1,2,3.13,1.48,0
Slider,R,5.97,-2.891,49.93,5.833,89.11,2318.0,280.6,0.008,1.667,-0.547,-1.62,1,0,2,3.86,1.88,0
Changeup,L,5.69,-2.766,50.22,6.006,83.62,1962.0,79.2,-0.271,1.856,-0.257,0.492,1,1,1,3.64,1.71,1
Changeup,R,6.09,-2.718,51.15,6.183,83.89,2386.0,284.1,-0.273,2.018,1.428,0.466,0,0,1,3.31,1.21,1
4-Seam Fastball,R,6.02,-2.983,50.88,5.548,93.94,2535.0,210.8,-1.028,1.315,1.526,1.482,2,2,0,3.61,1.2,0
Knuckle Curve,R,6.35,-2.971,51.33,5.662,81.84,1398.0,4.5,-0.535,0.85,-0.076,-0.537,0,1,1,3.55,1.78,1
4-Seam Fastball,R,5.63,-2.79,50.25,6.057,93.94,1954.0,109.0,0.997,1.939,0.352,1.608,1,2,2,3.87,1.42,0
4-Seam Fastball,R,5.98,-2.806,52.34,6.101,93.84,1910.0,58.9,1.052,3.368,0.732,1.536,0,1,1,3.61,1.64,1
4-Seam Fastball,R,5.25,-2.75,49.18,5.997,91.87,2183.0,191.6,0.663,2.888,-0.928,1.107,0,0,0,3.43,1.78,0
4-Seam Fastball,L,5.93,-2.898,49.64,5.796,95.2,2640.0,319.6,0.574,2.404,-1.553,1.464,1,1,0,3.7,1.51,1
Slider,R,6.32,-2.754,47.84,5.998,87.09,1990.0,186.1,0.297,1.453,0.905,-1.655,1,1,0,3.63,1.73,1
4-Seam Fastball,L,6.04,-2.717,51.18,6.196,94.28,1947.0,88.4,0.213,0.889,0.943,0.286,1,0,0,3.22,1.25,1
Cutter,L,5.72,-2.867,52.2,5.854,90.68,2513.0,262.0,1.114,1.483,1.079,1.52,0,0,2,3.28,1.33,0
Cutter,R,5.17,-2.805,48.75,5.954,89.17,1681.0,192.8,1.508,3.018,1.699,-0.072,3,2,1,3.65,1.8,1
Knuckle Curve,L,5.83,-2.893,49.94,6.028,81.08,1670.0,41.6,0.285,1.504,1.736,0.597,3,0,1,3.75,1.81,0
Slider,R,6.67,-2.952,52.26,5.76,83.43,2612.0,284.3,-1.086,3.913,-1.233,-1.822,3,1,0,3.48,1.74,1
Slider,R,5.9,-2.705,51.95,6.054,87.94,1645.0,282.5,-1.414,2.233,-1.364,0.361,3,2,0,3.61,1.65,0
4-Seam Fastball,R,6.01,-2.74,48.99,6.188,95.05,2289.0,89.1,-0.119,1.366,-1.488,0.096,0,1,1,3.69,1.6,1
4-Seam Fastball,R,5.96,-2.864,51.19,5.798,93.01,2135.0,22.0,1.504,2.367,-1.606,-0.075,3,1,2,3.79,1.87,0
4-Seam Fastball,L,6.1,-2.915,51.73,5.757,93.22,2589.0,217.7,0.346,3.446,1.772,-1.589,2,0,1,3.64,1.43,1
4-Seam Fastball,R,6.35,-2.682,49.35,6.176,92.03,1940.0,84.6,-0.386,1.412,-0.639,-1.116,3,1,2,3.17,1.87,0
4-Seam Fastball,R,5.85,-2.837,49.39,5.954,95.24,2613.0,127.5,-0.737,1.404,-0.508,0.594,3,2,0,3.85,1.79,0
Changeup,R,5.49,-2.77,49.13,6.183,84.49,2547.0,151.2,1.302,3.424,-0.607,-0.904,0,1,0,3.31,1.88,0
Changeup,R,6.06,-2.887,49.06,6.297,82.29,1562.0,5.5,0.427,2.5,-1.41,1.513,2,1,0,3.25,1.56,1
Slider,R,6.28,-2.929,50.07,5.64,85.83,1272.0,160.6,-0.813,2.341,0.644,0.621,3,1,0,3.8,1.32,1
Changeup,R,6.03,-2.766,51.41,6.141,81.16,2456.0,88.4,-0.666,1.876,-0.7,-0.674,1,1,0,3.19,1.37,1
Cutter,R,6.03,-2.761,49.07,6.088,93.89,1870.0,259.1,-0.115,3.034,0.295,1.508,0,0,2,3.88,1.8,0
4-Seam Fastball,R,5.41,-2.737,53.0,6.082,92.78,1894.0,12.5,1.421,3.792,-0.752,0.123,1,0,0,3.41,1.54,0
4-Seam Fastball,L,6.23,-2.893,50.27,5.807,94.98,1786.0,57.8,-0.08,1.359,-1.053,-1.552,3,1,1,3.76,1.74,0
4-Seam Fastball,R,6.04,-2.722,49.95,6.077,95.13,1831.0,1.8,-1.36,1.607,-0.054,0.521,3,2,0,3.65,1.5,0
Knuckle Curve,L,5.77,-2.827,50.2,6.102,82.09,3163.0,281.2,-1.367,2.607,-0.635,-0.756,0,1,2,3.38,1.21,0
Changeup,R,6.21,-2.68,48.3,5.989,85.18,2313.0,259.6,0.942,4.187,0.428,-0.39,1,0,2,3.35,1.59,0
4-Seam Fastball,R,5.98,-2.812,50.69,6.274,94.76,2339.0,7.6,0.255,1.755,-1.596,0.679,1,0,1,3.19,1.25,1
Slider,L,6.25,-2.807,51.37,5.986,87.21,1662.0,212.9,-1.529,1.585,1.578,-1.736,3,0,2,3.87,1.35,0
Knuckle Curve,L,5.7,-2.733,51.1,6.002,82.8,1706.0,249.9,-1.047,4.069,-1.19,0.425,0,2,2,3.18,1.17,1
Slider,L,6.1,-2.794,48.97,5.662,86.63,2043.0,79.4,-0.238,4.192,-1.194,-0.381,3,0,0,3.4,1.53,1
Changeup,R,6.14,-2.881,49.76,5.949,83.68,2432.0,240.1,-1.203,1.241,1.288,-1.415,0,2,1,3.49,1.66,1
Slider,R,5.95,-2.761,47.58,5.916,87.05,1744.0,117.8,1.417,1.172,-0.407,-0.232,0,0,2,3.81,1.1,0
4-Seam Fastball,R,5.96,-2.759,50.48,6.15,93.12,2505.0,39.4,0.866,2.406,-1.438,-0.532,1,1,2,3.28,1.65,1
4-Seam Fastball,L,5.67,-2.913,48.37,5.951,94.1,2767.0,325.5,0.464,4.004,-1.428,0.975,1,0,0,3.48,1.52,1
Changeup,L,6.02,-2.85,50.82,6.074,81.83,2353.0,185.3,1.388,1.872,0.577,0.814,2,0,1,3.35,1.39,0
Slider,R,6.06,-2.883,49.94,5.898,87.5,2195.0,16.9,-1.194,0.964,1.777,0.128,3,1,0,3.7,1.71,0
4-Seam Fastball,R,5.65,-2.82,48.71,5.959,94.39,2731.0,15.2,-0.855,1.2,0.752,-1.678,2,0,0,3.47,1.48,1
Changeup,R,5.93,-2.834,49.86,6.08,81.54,1957.0,54.8,0.03,3.705,1.144,0.39,1,0,0,3.63,1.44,1
Cutter,L,5.65,-2.997,49.99,5.603,91.6,2860.0,328.5,1.187,1.116,0.567,-1.264,2,2,1,3.72,1.72,0
Changeup,R,5.96,-2.936,49.88,5.884,85.01,2191.0,121.2,-0.362,2.203,-1.306,-1.292,3,1,2,3.69,1.2,1
Slider,R,6.0,-2.669,50.91,6.261,86.11,2615.0,231.6,-0.789,2.946,-1.08,0.028,3,0,2,3.87,1.39,0
4-Seam Fastball,R,6.37,-2.765,51.34,6.201,92.96,2362.0,78.7,-0.268,2.636,-1.194,-1.344,0,0,1,3.31,1.27,1
Changeup,R,5.99,-2.896,49.41,6.037,80.9,1587.0,104.8,-1.572,1.263,0.326,1.039,0,1,1,3.49,1.89,0
Slider,R,6.05,-2.795,50.43,6.225,85.78,2560.0,346.8,1.047,1.648,-1.507,-1.806,3,2,2,3.64,1.73,0
4-Seam Fastball,L,6.13,-2.688,51.94,6.123,92.54,2036.0,91.9,-0.059,1.997,1.989,-0.517,0,0,0,3.13,1.42,1
Changeup,R,6.14,-2.741,49.74,5.965,82.83,2310.0,301.6,-1.183,4.197,-0.864,1.233,2,1,2,3.65,1.25,1
Knuckle Curve,L,5.76,-2.835,50.13,5.925,81.24,1929.0,247.2,-1.072,1.104,-1.974,-0.379,2,1,0,3.4,1.39,1
Changeup,R,6.33,-2.86,50.49,6.118,81.6,2445.0,307.9,1.184,2.444,-0.535,0.998,1,2,0,3.74,1.5,1
4-Seam Fastball,R,5.94,-2.697,49.97,6.182,91.82,2404.0,227.5,1.523,2.501,-1.577,0.257,0,1,1,3.71,1.54,1
4-Seam Fastball,R,5.85,-2.886,48.8,5.865,93.24,2712.0,281.9,-1.255,0.896,1.047,-1.554,2,1,2,3.8,1.55,0
4-Seam Fastball,R,6.28,-2.848,51.14,5.871,94.05,1882.0,150.2,1.325,1.296,1.364,-0.014,1,1,1,3.67,1.84,0
4-Seam Fastball,R,6.32,-2.726,51.38,6.3,94.41,2079.0,56.4,0.719,2.385,-1.656,1.225,3,2,1,3.22,1.65,1
Changeup,R,6.01,-2.705,49.16,6.093,82.09,2302.0,71.9,-0.247,3.744,0.27,0.715,1,2,0,3.42,1.61,1
4-Seam Fastball,R,5.89,-2.804,51.75,5.971,93.28,2831.0,293.6,-0.475,3.402,-1.362,0.208,2,0,1,3.57,1.58,1
Cutter,R,5.84,-2.773,52.4,6.157,90.37,2886.0,201.3,-0.129,1.623,-0.525,-0.93,2,0,0,3.46,1.84,0
Slider,R,6.15,-2.726,49.34,6.129,88.52,2103.0,57.6,1.147,2.618,-0.04,-1.498,2,1,2,3.46,1.75,0
Knuckle Curve,R,5.89,-2.742,50.0,5.982,83.06,2854.0,35.3,-1.457,3.452,-1.343,-1.397,1,1,1,3.79,1.52,0
Knuckle Curve,R,5.95,-2.829,49.21,5.933,82.84,1910.0,123.6,1.437,3.279,-1.714,-1.36,3,2,2,3.7,1.51,0
Changeup,R,6.06,-2.826,50.79,5.859,79.6,1944.0,315.5,0.453,2.751,-0.722,-1.857,0,0,0,3.24,1.7,1
4-Seam Fastball,R,6.12,-2.803,49.86,6.274,95.67,2416.0,109.8,0.563,1.96,-0.771,-0.12,3,2,1,3.21,1.69,1
Knuckle Curve,R,6.13,-2.859,48.81,5.821,85.02,2399.0,188.2,-0.367,4.014,-1.587,-0.694,3,2,0,3.37,1.79,0
Knuckle Curve,R,6.29,-2.796,51.22,5.843,84.47,1847.0,80.8,-0.882,2.09,-1.389,-1.167,3,1,1,3.67,1.55,1
Knuckle Curve,R,6.08,-2.815,51.01,5.858,82.87,2320.0,259.6,1.24,3.257,-1.229,-1.234,3,2,2,3.31,1.48,1
Cutter,R,6.13,-2.661,51.33,6.161,91.03,1862.0,264.5,0.246,1.443,-0.747,0.501,0,0,1,3.76,1.48,0
4-Seam Fastball,R,6.34,-2.759,51.37,6.006,93.66,2508.0,176.9,1.186,2.051,1.904,-1.674,1,0,0,3.44,1.79,0
Slider,R,5.84,-2.803,51.76,6.034,89.67,2256.0,93.6,-0.11,1.335,-1.279,0.243,2,1,1,3.57,1.75,1
4-Seam Fastball,R,6.44,-2.675,49.83,6.3,93.16,1332.0,330.9,-0.023,1.345,0.792,0.804,1,0,2,3.34,1.22,1
Changeup,R,5.87,-2.764,47.0,6.053,82.43,2592.0,300.2,-0.735,2.515,0.895,-1.209,1,2,1,3.43,1.73,1
Slider,L,6.35,-2.739,52.18,6.224,85.0,1966.0,186.6,1.164,1.924,-1.258,-0.303,1,0,0,3.89,1.65,0
Slider,R,5.94,-2.727,49.1,6.3,85.7,2414.0,227.5,-0.177,3.101,-0.943,0.181,1,2,0,3.7,1.77,1
4-Seam Fastball,R,6.17,-2.879,47.29,5.812,93.31,2754.0,290.3,1.243,3.435,-1.62,-1.145,1,1,2,3.24,1.83,0
Knuckle Curve,L,6.48,-2.767,49.47,6.114,82.78,2247.0,206.4,-0.171,4.088,-1.618,0.252,2,1,2,3.48,1.34,1
Knuckle Curve,R,6.01,-2.88,50.97,5.707,82.04,2782.0,215.0,-1.492,3.81,-1.156,-1.096,3,1,1,3.5,1.78,0
4-Seam Fastball,R,5.53,-2.91,49.8,5.563,94.18,2283.0,203.6,-0.378,2.13,1.843,0.338,2,1,1,3.17,1.85,0
4-Seam Fastball,R,5.81,-2.78,47.0,6.074,93.54,2365.0,74.3,-1.406,1.396,0.076,0.313,3,0,0,3.86,1.2,0
Changeup,R,6.16,-2.699,47.38,6.19,85.24,2066.0,304.6,0.29,3.337,1.837,-0.703,1,1,2,3.26,1.28,1
4-Seam Fastball,R,5.67,-2.762,51.09,6.036,94.32,3151.0,125.3,1.02,4.056,-0.137,-1.383,0,1,0,3.7,1.46,0
Changeup,R,6.15,-2.749,49.62,6.156,82.49,2670.0,211.9,-1.119,2.928,-0.245,1.752,0,0,2,3.65,1.58,1
4-Seam Fastball,R,6.08,-2.871,49.71,5.981,93.17,2063.0,213.4,1.062,2.269,-0.1,-1.346,2,1,2,3.39,1.27,1
Cutter,R,6.17,-2.904,48.74,5.951,93.09,2916.0,122.8,-1.586,2.781,1.683,-1.356,0,0,1,3.85,1.27,0
Cutter,R,5.97,-2.803,49.13,5.919,92.63,2282.0,255.6,1.118,1.297,-1.986,-0.283,2,2,0,3.73,1.81,0
4-Seam Fastball,L,5.84,-2.846,47.82,6.157,93.72,2219.0,208.7,-0.971,1.7,-0.998,1.67,0,1,0,3.39,1.2,0
4-Seam Fastball,R,5.7,-2.763,50.71,6.054,95.62,1554.0,2.5,0.851,1.526,-0.422,0.614,1,0,2,3.11,1.15,0
Slider,R,6.41,-2.843,48.99,6.133,87.9,1621.0,93.9,-1.277,4.016,0.513,-0.613,0,0,2,3.89,1.54,0
Knuckle Curve,R,5.69,-2.778,50.08,5.948,82.46,2106.0,37.5,1.13,3.025,-0.195,-1.539,2,0,2,3.19,1.27,1
4-Seam Fastball,L,6.0,-2.814,51.12,5.847,93.26,2468.0,227.0,0.442,0.997,-0.898,-0.546,3,1,0,3.24,1.44,0
Cutter,R,5.67,-2.787,49.93,6.045,91.14,2384.0,236.0,1.284,1.118,0.043,0.101,2,1,0,3.89,1.86,0
Changeup,R,5.97,-2.744,51.49,6.176,81.68,2222.0,190.1,-0.252,2.983,-0.56,-0.437,0,2,2,3.11,1.49,1
Changeup,R,6.17,-2.737,50.65,6.251,84.98,2419.0,307.2,0.657,1.591,-1.971,-1.046,2,0,2,3.17,1.67,1
Knuckle Curve,R,6.47,-2.824,49.88,5.921,82.74,2445.0,266.3,0.673,1.323,0.13,-0.998,2,1,2,3.26,1.13,1
Changeup,R,5.85,-2.845,50.55,5.752,82.48,1643.0,21.5,0.253,3.005,1.318,-0.953,3,2,0,3.18,1.81,1
4-Seam Fastball,L,5.58,-2.724,52.38,6.022,94.39,2405.0,133.3,-0.171,1.018,-1.968,-0.727,0,2,2,3.88,1.52,0
4-Seam Fastball,R,6.0,-2.604,51.12,6.161,94.81,2051.0,132.2,-0.894,2.986,-0.178,0.187,3,2,1,3.24,1.3,1
Cutter,R,5.68,-2.698,48.31,6.148,90.67,1756.0,58.0,1.587,1.202,-1.501,-1.422,2,0,0,3.27,1.86,0
4-Seam Fastball,R,6.38,-2.695,48.59,6.192,92.86,2395.0,165.9,0.261,3.973,1.746,1.818,3,1,1,3.63,1.2,1
Changeup,R,6.39,-2.729,50.41,6.012,81.66,2403.0,52.1,-1.059,2.714,-0.285,-0.226,2,2,2,3.55,1.89,0
Slider,R,5.73,-2.806,53.0,5.975,87.98,2139.0,319.4,-1.414,1.895,0.781,-0.882,3,1,1,3.37,1.71,0
4-Seam Fastball,R,6.53,-2.748,51.08,6.1,94.04,2366.0,224.6,0.007,0.911,0.564,1.59,3,0,0,3.64,1.54,0
4-Seam Fastball,L,6.22,-2.81,49.45,5.78,94.98,2046.0,42.7,-1.239,1.234,-0.564,-0.875,0,2,2,3.5,1.79,0
Cutter,L,6.07,-2.875,50.9,6.245,92.87,2385.0,26.5,1.465,0.94,-0.891,0.058,1,1,2,3.82,1.24,0
Changeup,R,5.8,-2.679,49.31,6.26,85.61,2235.0,12.6,0.222,0.964,-0.092,-1.144,3,0,1,3.88,1.6,0
Slider,R,5.95,-2.82,49.36,6.125,87.93,1617.0,172.0,0.218,4.028,0.677,1.277,3,1,1,3.68,1.3,1
4-Seam Fastball,L,6.12,-2.941,48.97,5.874,93.12,1824.0,297.3,0.148,3.766,1.818,0.666,1,1,0,3.56,1.6,1
Changeup,R,5.74,-2.929,50.67,6.189,81.53,2257.0,243.9,0.417,2.107,0.063,1.081,1,2,2,3.69,1.55,1
4-Seam Fastball,L,6.25,-2.717,47.83,6.098,93.47,2374.0,253.6,-0.08,2.419,1.093,-1.42,3,0,0,3.14,1.43,1
Slider,L,5.98,-2.768,51.77,6.045,88.21,1807.0,29.8,-0.221,2.459,-1.338,1.368,2,1,0,3.12,1.73,1
Knuckle Curve,L,5.6,-2.647,47.34,6.23,84.32,2149.0,327.7,0.495,2.091,-0.902,-1.953,1,1,0,3.2,1.45,1
Slider,R,6.05,-2.717,50.86,6.3,86.49,2126.0,292.2,1.458,2.557,1.957,-1.106,0,1,1,3.57,1.26,1
Knuckle Curve,R,5.56,-2.902,49.16,5.669,82.75,2515.0,71.4,1.308,3.377,1.452,-1.183,3,1,1,3.43,1.62,0
4-Seam Fastball,R,5.57,-2.824,50.48,5.931,93.65,1906.0,103.6,1.349,1.001,0.02,-1.296,0,0,0,3.39,1.74,0
4-Seam Fastball,R,6.08,-2.977,50.83,5.71,92.36,2194.0,151.6,-0.612,3.208,-0.137,-1.495,0,1,0,3.41,1.63,1
4-Seam Fastball,R,5.61,-2.755,49.03,5.916,94.1,2261.0,233.1,0.503,1.881,-0.421,-0.729,2,0,2,3.6,1.62,1
4-Seam Fastball,R,6.41,-2.7,48.82,6.271,91.98,1723.0,247.9,-1.058,1.068,1.844,0.821,0,0,2,3.8,1.47,0
Slider,R,6.09,-2.822,49.79,6.05,83.42,2597.0,304.9,1.195,3.364,-1.245,-1.017,1,1,0,3.26,1.28,1
4-Seam Fastball,R,5.67,-2.93,49.27,5.919,94.03,2369.0,69.5,0.877,0.807,-0.358,-0.201,0,1,0,3.21,1.41,0
4-Seam Fastball,R,5.69,-2.865,50.68,5.845,91.94,1979.0,136.5,0.469,0.987,1.797,1.836,3,2,1,3.76,1.83,0
4-Seam Fastball,R,5.87,-2.77,50.46,5.855,93.58,1783.0,251.4,-1.568,3.122,1.552,-0.437,1,2,2,3.66,1.17,1
4-Seam Fastball,L,5.89,-2.732,47.0,6.077,93.99,2498.0,24.1,0.439,2.516,-1.528,-0.293,2,0,0,3.29,1.19,1
Knuckle Curve,R,6.1,-2.909,49.76,5.892,80.77,2321.0,136.9,0.086,1.972,0.855,-1.255,2,2,2,3.51,1.31,1
Knuckle Curve,R,5.99,-2.724,50.15,6.035,83.25,2690.0,148.7,0.611,2.906,-0.065,-1.874,0,1,1,3.49,1.38,1
Cutter,R,6.09,-2.755,49.39,5.927,89.48,3200.0,191.5,-0.059,1.688,-1.14,1.375,2,2,2,3.54,1.13,1
Slider,R,6.39,-2.792,51.5,5.819,84.93,1766.0,265.4,-1.266,1.913,0.05,-1.51,3,1,1,3.49,1.2,1
Changeup,R,6.12,-2.764,48.59,6.033,82.93,2310.0,164.0,0.41,1.011,-1.293,0.023,3,2,1,3.76,1.8,0
Changeup,R,6.26,-2.826,50.54,5.947,81.18,2598.0,106.1,-0.02,4.038,1.398,-1.286,1,1,1,3.84,1.43,0
Knuckle Curve,R,6.11,-2.807,49.19,6.029,83.03,1503.0,274.0,-1.45,2.79,1.784,1.365,1,1,2,3.26,1.44,0
Knuckle Curve,R,6.07,-2.84,52.14,5.86,83.71,2150.0,194.3,1.237,3.247,-1.46,-0.718,3,0,2,3.66,1.52,0
Slider,R,6.2,-2.819,49.88,5.984,85.92,2695.0,260.4,-0.844,2.911,1.762,-1.378,2,2,1,3.52,1.52,1
Slider,R,5.27,-2.863,50.89,6.061,83.86,1521.0,310.8,0.306,2.643,0.799,-1.986,1,2,2,3.24,1.77,1
4-Seam Fastball,R,5.94,-2.984,48.9,5.885,92.22,2814.0,331.4,1.506,2.353,-1.88,-0.243,3,2,2,3.37,1.25,1
Changeup,L,6.15,-2.821,49.79,5.894,86.51,2605.0,48.6,0.273,2.412,1.363,-0.764,1,2,1,3.15,1.21,1
4-Seam Fastball,R,5.41,-2.841,50.12,5.94,93.22,2235.0,103.8,1.515,1.152,1.39,-1.18,0,1,0,3.7,1.15,0
Changeup,L,6.26,-2.782,50.95,6.163,82.11,2271.0,217.6,0.559,1.48,1.707,-0.299,2,0,1,3.36,1.74,0
Cutter,R,6.44,-2.729,50.42,5.955,92.56,2127.0,175.2,-0.597,4.153,-1.865,1.617,1,0,2,3.77,1.72,0
Slider,R,6.05,-2.844,51.64,5.978,84.27,2665.0,153.3,1.057,1.728,-0.86,1.472,3,2,1,3.32,1.1,1
Slider,R,6.2,-2.786,47.35,6.072,86.07,2637.0,196.3,-1.547,3.882,0.572,1.223,1,1,1,3.32,1.17,0
4-Seam Fastball,R,6.03,-2.725,50.57,6.177,93.14,2462.0,152.4,-0.836,1.899,0.727,-1.129,1,0,0,3.27,1.65,1
4-Seam Fastball,L,6.08,-2.857,47.73,5.748,92.11,2093.0,51.7,-1.521,4.038,-0.412,-1.522,0,2,2,3.72,1.63,0
Slider,R,6.13,-2.796,47.9,5.795,86.73,2469.0,78.5,-1.044,2.825,-1.373,1.967,2,1,2,3.38,1.12,1
Cutter,L,5.91,-2.838,49.33,5.815,93.18,2594.0,201.4,1.43,2.188,0.431,0.853,3,0,1,3.24,1.28,1
Changeup,R,5.87,-2.776,50.53,6.183,84.36,2288.0,334.5,0.129,0.862,0.038,-0.437,1,0,1,3.29,1.51,1
Changeup,R,6.25,-2.796,49.54,6.065,82.33,1907.0,115.5,1.418,3.092,1.858,0.644,3,0,0,3.24,1.86,0
4-Seam Fastball,R,6.4,-2.831,47.0,6.064,92.9,1885.0,216.9,-1.073,2.234,-1.286,-0.663,1,1,0,3.78,1.28,0
4-Seam Fastball,L,5.9,-2.785,51.49,5.801,92.05,1572.0,239.3,1.416,1.316,-0.652,1.418,0,1,0,3.89,1.26,0
Cutter,L,6.04,-2.797,49.27,6.256,90.52,2102.0,358.8,-1.457,1.884,0.656,1.583,2,1,2,3.68,1.37,0
4-Seam Fastball,L,5.98,-2.866,50.86,5.995,91.6,1951.0,178.4,0.807,2.686,1.413,0.378,1,0,0,3.12,1.35,1
Slider,L,5.87,-2.755,51.13,5.789,85.71,2220.0,296.8,-1.564,4.015,1.153,0.595,1,2,2,3.39,1.8,0
Knuckle Curve,L,5.92,-2.853,49.96,6.139,84.78,2099.0,107.8,-1.473,2.631,1.22,-1.438,3,1,0,3.2,1.45,0
4-Seam Fastball,R,5.91,-2.701,51.64,6.191,93.72,1711.0,123.4,-0.477,3.195,-0.402,-0.92,1,0,1,3.33,1.23,1
4-Seam Fastball,R,6.02,-2.934,51.61,5.759,93.12,1944.0,313.3,-0.302,1.989,-1.712,-0.941,2,2,1,3.14,1.82,0
Slider,R,5.82,-2.814,50.39,6.0,86.73,1958.0,123.8,-1.052,1.68,-0.277,1.101,3,0,0,3.22,1.73,0
Cutter,R,6.48,-2.825,50.88,5.975,93.03,2024.0,47.8,0.873,2.685,-1.998,-1.24,2,2,1,3.3,1.68,1
Slider,R,5.99,-2.717,51.73,6.172,84.77,2276.0,105.3,-0.581,1.073,-0.656,0.15,0,1,1,3.6,1.59,1
Changeup,R,5.95,-2.833,48.73,5.98,82.74,1813.0,319.5,-0.435,3.594,0.765,-0.173,0,0,0,3.65,1.35,1
Changeup,L,6.25,-2.865,49.62,5.994,80.35,1982.0,215.0,1.261,3.86,-1.922,1.741,0,1,1,3.58,1.81,0
Slider,R,6.26,-2.822,51.69,6.042,85.38,1809.0,57.8,-0.402,2.724,0.543,0.773,2,0,1,3.61,1.72,1
4-Seam Fastball,L,6.1,-2.696,50.63,6.128,92.51,2773.0,127.9,1.553,3.053,0.499,-1.106,3,1,1,3.28,1.69,1
Knuckle Curve,L,6.18,-2.781,49.45,6.008,80.97,1980.0,61.9,-1.225,3.102,1.344,0.248,1,2,0,3.6,1.33,0
Slider,R,5.88,-2.934,49.93,5.814,85.5,2784.0,72.8,-1.094,3.034,-0.551,0.718,3,1,2,3.31,1.15,1
Changeup,R,6.05,-2.838,48.74,6.048,83.19,2058.0,137.4,-1.48,2.26,-1.782,0.49,0,1,0,3.87,1.18,0
Slider,L,6.38,-2.873,47.0,6.147,84.71,1592.0,152.7,-0.21,1.965,1.446,-1.347,2,0,0,3.1,1.48,1
4-Seam Fastball,R,6.44,-2.797,50.91,6.1,93.07,2120.0,15.1,0.79,3.793,-1.787,1.846,0,2,1,3.49,1.66,1
Cutter,L,5.91,-2.751,52.49,6.044,92.56,2075.0,155.7,0.356,1.609,1.589,-0.66,2,0,0,3.75,1.28,0
Cutter,L,6.24,-2.797,52.01,5.98,92.77,1915.0,105.4,0.372,4.112,0.202,1.171,3,2,2,3.66,1.39,0
Cutter,L,5.75,-2.819,49.01,6.023,92.01,2667.0,190.7,-0.871,2.056,-0.437,-1.921,2,2,2,3.44,1.87,0
Slider,R,6.14,-2.81,51.91,5.971,87.54,1416.0,304.7,0.248,3.152,0.971,-0.907,3,0,2,3.34,1.26,1
Changeup,R,6.12,-2.789,51.61,5.833,81.99,1857.0,323.4,-0.327,3.5,1.494,-0.151,0,0,1,3.29,1.54,1
4-Seam Fastball,R,6.45,-2.848,48.7,5.852,92.79,2181.0,272.9,0.469,1.148,1.37,0.466,3,0,1,3.85,1.79,0
Knuckle Curve,L,5.93,-2.798,50.17,5.847,82.01,2399.0,260.2,-1.256,2.315,-0.519,-1.374,2,1,1,3.76,1.75,0
Knuckle Curve,R,5.94,-2.862,49.94,5.822,82.71,1880.0,8.4,1.594,2.33,1.051,-0.123,2,1,2,3.12,1.26,1
Slider,R,5.73,-2.739,50.58,6.3,86.38,1688.0,93.1,1.006,3.304,-0.881,1.615,0,0,0,3.4,1.62,0
4-Seam Fastball,L,6.2,-2.818,49.59,5.799,92.19,2256.0,156.5,1.248,2.399,-0.776,-0.428,0,2,2,3.88,1.88,0
Knuckle Curve,R,5.69,-2.909,49.7,5.759,83.73,2496.0,12.7,0.371,1.748,1.244,-0.462,0,0,1,3.59,1.22,1
4-Seam Fastball,R,6.19,-2.985,48.24,5.995,94.24,2101.0,94.1,0.826,1.58,-0.536,-1.101,1,2,0,3.25,1.27,1
4-Seam Fastball,R,5.84,-2.778,50.16,6.046,93.24,2510.0,2.1,0.365,2.226,0.504,-1.079,3,2,2,3.84,1.29,1
4-Seam Fastball,R,6.44,-2.837,48.44,6.128,92.45,2942.0,174.0,-0.236,2.631,-0.861,-0.147,2,2,1,3.53,1.5,1
Slider,R,6.18,-2.835,49.45,5.867,86.49,1966.0,230.1,0.96,3.748,-0.553,0.057,1,0,0,3.68,1.43,0
Slider,L,6.02,-2.767,52.18,6.112,87.39,2525.0,312.6,-0.855,3.091,0.693,1.49,1,1,0,3.66,1.83,0
